"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28"
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,-1.00311500304412,0,0,0,0.996884996955877,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00623000608824588,0,0,0,0,0
0,0,0,-1.00311500304412,0,0,0,0.996884996955877,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00623000608824588,0,0,0,0
0.996884996955877,0,0,0,-1.00311500304412,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00623000608824588,0,0,0,0,0,0,0
0,0.996884996955877,0,0,0,-1.00311500304412,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00623000608824588,0,0,0,0,0,0
0,0,0,0,0,0,-1.00311500304412,0,0,0,0.996884996955877,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00623000608824588,0
0,0,0,0,0,0,0,-1.00311500304412,0,0,0,0.996884996955877,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00623000608824588
0,0,0,0,0.996884996955877,0,0,0,-1.00311500304412,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00623000608824588,0,0,0
0,0,0,0,0,0.996884996955877,0,0,0,-1.00311500304412,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00623000608824588,0,0
0,0,0,0,0,0,0,0,-0.5,-0.5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,-0.5,-0.5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,-1,0.495000277093979,0,0,0,0,0,0,0,0.504999722906021,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0.495000277093979,0,0,0,0,0,0,0,0.504999722906021,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0.495000277093979,0,0,0,0,0,0,0,0.504999722906021,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0.495000277093979,0,0,0,0,0,0,0,0.504999722906021,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0.495000277093979,0,0,0,0,0,0,0,0.504999722906021,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0.495000277093979,0,0,0,0,0,0,0,0.504999722906021
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
2.7717322946045e-05,0,0,0,2.7717322946045e-05,0,0,0,0,0,0,0,0.999944565354108,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0
0,2.7717322946045e-05,0,0,0,2.7717322946045e-05,0,0,0,0,0,0,0,0.999944565354108,0,0,0,0,0,0,0,-1,0,0,0,0,0,0
0,0,2.7717322946045e-05,0,0,0,2.7717322946045e-05,0,0,0,0,0,0,0,0.999944565354108,0,0,0,0,0,0,0,-1,0,0,0,0,0
0,0,0,2.7717322946045e-05,0,0,0,2.7717322946045e-05,0,0,0,0,0,0,0,0.999944565354108,0,0,0,0,0,0,0,-1,0,0,0,0
0,0,0,0,2.7717322946045e-05,0,0,0,2.7717322946045e-05,0,0,0,0,0,0,0,0.999944565354108,0,0,0,0,0,0,0,-1,0,0,0
0,0,0,0,0,2.7717322946045e-05,0,0,0,2.7717322946045e-05,0,0,0,0,0,0,0,0.999944565354108,0,0,0,0,0,0,0,-1,0,0
0,0,0,0,0,0,2.7717322946045e-05,0,0,0,2.7717322946045e-05,0,0,0,0,0,0,0,0.999944565354108,0,0,0,0,0,0,0,-1,0
0,0,0,0,0,0,0,2.7717322946045e-05,0,0,0,2.7717322946045e-05,0,0,0,0,0,0,0,0.999944565354108,0,0,0,0,0,0,0,-1
